epoch,time_index,loss
31,22069,0.33960965275764465
64,26696,0.311365008354187
100,21052,0.3558626174926758
133,11718,0.3225117623806
165,12358,0.2995798587799072
198,11916,0.325870543718338
231,14171,0.30339449644088745
263,18125,0.2916123867034912
295,7836,0.25077277421951294
327,11124,0.2928061783313751
359,4533,0.30908459424972534
391,23046,0.2090255171060562
423,15492,0.28639641404151917
456,4573,0.27278101444244385
488,27456,0.22142566740512848
520,27507,0.16578957438468933
552,1528,0.222309410572052
585,10803,0.2605511546134949
617,21840,0.24426516890525818
649,14241,0.16784894466400146
681,26360,0.2433289885520935
715,16048,0.22548741102218628
747,17969,0.16341444849967957
780,3360,0.22957628965377808
812,1453,0.2478928565979004
844,20075,0.15607547760009766
876,3018,0.22682803869247437
908,203,0.19204074144363403
940,18960,0.21120022237300873
974,24907,0.2383124679327011
1008,13985,0.2328093945980072
1040,26868,0.2058587223291397
1073,19863,0.16239608824253082
1105,661,0.18754781782627106
1138,1621,0.1996304839849472
1170,24413,0.20754468441009521
1203,24307,0.15826986730098724
1236,8598,0.2394634187221527
1268,23347,0.15350821614265442
1301,2489,0.186849445104599
1333,16358,0.16253937780857086
1366,20148,0.19632647931575775
1398,10726,0.19568932056427002
1431,19375,0.16896086931228638
1463,25238,0.18075117468833923
1495,6215,0.21556547284126282
1527,13373,0.16649602353572845
1559,9673,0.1581551730632782
1591,15183,0.12865887582302094
1623,27145,0.15731696784496307
1656,9504,0.11541976034641266
1688,13511,0.10545288771390915
1720,27318,0.1153862476348877
1752,482,0.1279917061328888
1784,10661,0.13885144889354706
1816,4335,0.1399378776550293
1848,22649,0.1379426121711731
1880,24556,0.18686510622501373
1913,21002,0.18207064270973206
1945,27811,0.16604989767074585
1978,13148,0.10430364310741425
2010,18500,0.12158755213022232
2042,9515,0.15963968634605408
2075,17818,0.12100949883460999
2107,12888,0.12300127744674683
2140,8689,0.11888155341148376
2174,13314,0.07611303776502609
2207,19568,0.14589528739452362
2240,22617,0.12532979249954224
2272,317,0.08273152261972427
2305,17513,0.08908244967460632
2338,15916,0.12425915151834488
2370,14797,0.13045912981033325
2403,11490,0.1983352154493332
2435,23806,0.10316797345876694
2469,4967,0.19467654824256897
2501,13810,0.14246544241905212
2533,17133,0.11700189113616943
2565,11931,0.14313194155693054
2597,17019,0.09416660666465759
2629,17420,0.1047232523560524
2662,10012,0.07516613602638245
2695,3080,0.1305212527513504
2728,26804,0.09112884104251862
2762,26386,0.14065735042095184
2794,10803,0.1022636890411377
2826,11651,0.13678856194019318
2859,13829,0.17678652703762054
2891,9959,0.17319466173648834
2925,6529,0.10583551228046417
2960,24440,0.1147126704454422
2994,7246,0.12504489719867706
